title,price
ASUS ROG STRIX Z890-E GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"RM3,250.00"
ASUS ROG STRIX Z890-F GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"RM2,250.00"
ASUS TUF GAMING Z890 PRO WIFI DDR5 LGA1851 ATX MOTHERBOARD (3+1YW),"RM1,750.00"
"ASUS TUF LC 240 RGB AiO Liquid CPU Cooler Aura Sync , Compatible Intel & AMD",RM509.00
LIAN LI PC-O11 DYNAMIC EVO ATX CASING,RM682.00
MSI GEFORCE RTX3050 VENTUS 2X OC 6GB DDR6 Graphics Card (RTX 3050 VENTUS 2X 6G OC),RM849.00
MSI GEFORCE RTX5070 INSPIRE 3X OC EDITION 12GB GDDR7,"RM3,299.00"
MSI GEFORCE RTX5070TI SHADOW 3X OC 16GB GDDR7,"RM4,599.00"
MSI MAG Z890 CARBON WIFI DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD (3YW),"RM2,599.00"
MSI MAG Z890 TOMAHAWK WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"RM1,909.00"
MSI MEG Z890 ACE DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD,"RM3,319.00"
MSI PRO X670-P WIFI / X670 WIFI AM5 AMD MOTHERBOARD,"RM2,924.00"
MSI PRO Z890-A WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"RM1,729.00"
MSI PRO Z890-P WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD (3YW),"RM1,369.00"
1ST PLAYER BLACK SIR SR-500W 500W / SR-600W 600W 80+ PSU POWER SUPPLY,RM179.00
1ST PLAYER DK 6.0 PS-600AX 600W 80Plus Bronze Power Supply,RM239.00
AIGO GP550 550WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP550,RM179.00
AIGO GP650 650WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP650,RM199.00
AIGO SLEV 30 PREMIUM PRE-BRAIDED MODDING CABLES,RM99.00
ASUS Dual Geforce RTX5080 8GB GDDR7 Graphic Card (DUAL-RTX5060-8GB),"RM1,699.00"
ASUS GEFORCE RTX5070 PRIME OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"RM3,659.00"
ASUS PRIME GeForce RTX 5060 Ti 8GB GDDR7 OC Edition Graphic Card,"RM1,879.00"
ASUS ROG STRIX 650WATT GAMING POWER SUPPLY ( 90YE00A1-B0NA00 ),RM679.00
ASUS ROG STRIX 750WATT GAMING POWER SUPPLY ( 90YE00A0-B0NA00 ),RM679.00
