title,price
1ST PLAYER Steampunk PS-750SP 80Plus Gold Power Supply,399.00
1ST PLAYER Steampunk PS-850SP 80Plus Gold Power Supply,419.00
ASUS GT502 TUF ATX GAMING CASING - BLACK,766.00
ASUS GT502 TUF ATX GAMING CASING - WHITE,785.00
ASUS PRIME AP-750G 750W 80+ GOLD POWER SUPPLY (8YRS WARRANTY),590.00
ASUS PRIME AP-850G 850W 80+ GOLD POWER SUPPLY (8YRS WARRANTY),660.00
ASUS PRIME GEFORCE RTX5070TI OC EDITION 16GB GDDR7 Graphic Card,"5,069.00"
"ASUS Prime Z790-P WIFI-CSM, an Intel Z790 LGA 1700 ATX motherboard","1,339.00"
ASUS PRIME Z890-P WIFI CSM DDR5 INTEL LGA1851 ATX MOTHERBOARD (3+1YW),"1,550.00"
ASUS PRIME Z890M-PLUS WIFI CSM DDR5 LGA1851 MATX MOTHERBOARD (3+1YW),"1,220.00"
"ASUS ROG Crosshair X670E Hero AMD X670 (Ryzen AM5) ATX motherboard, PCIe® 5.0, DDR5 support, WiFi 6E","4,969.00"
ASUS ROG MAXIMUS Z890 APEX DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"3,600.00"
ASUS ROG MAXIMUS Z890 EXTREME DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"5,200.00"
ASUS ROG MAXIMUS Z890 HERO DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"3,650.00"
"ASUS ROG Strix X670E-E Gaming WiFi AMD X670 (Ryzen AM5) ATX motherboard, DDR5 support, PCIe® 5.0, WiFi 6E","4,128.00"
"ASUS ROG Strix X670E-I Gaming WiFi AMD X670 (Ryzen AM5) ITX motherboard, DDR5 support, WiFi 6E","5,808.00"
ASUS ROG STRIX Z890-A WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"2,200.00"
ASUS ROG STRIX Z890-E GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"3,250.00"
ASUS ROG STRIX Z890-F GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"2,250.00"
ASUS TUF GAMING Z890 PRO WIFI DDR5 LGA1851 ATX MOTHERBOARD (3+1YW),"1,750.00"
"ASUS TUF LC 240 RGB AiO Liquid CPU Cooler Aura Sync , Compatible Intel & AMD",509.00
LIAN LI PC-O11 DYNAMIC EVO ATX CASING,682.00
MSI GEFORCE RTX3050 VENTUS 2X OC 6GB DDR6 Graphics Card (RTX 3050 VENTUS 2X 6G OC),849.00
MSI GEFORCE RTX5070 INSPIRE 3X OC EDITION 12GB GDDR7,"3,299.00"
MSI GEFORCE RTX5070TI SHADOW 3X OC 16GB GDDR7,"4,599.00"
MSI MAG Z890 CARBON WIFI DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD (3YW),"2,599.00"
MSI MAG Z890 TOMAHAWK WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"1,909.00"
MSI MEG Z890 ACE DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD,"3,319.00"
MSI PRO X670-P WIFI / X670 WIFI AM5 AMD MOTHERBOARD,"2,924.00"
MSI PRO Z890-A WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"1,729.00"
MSI PRO Z890-P WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD (3YW),"1,369.00"
1ST PLAYER BLACK SIR SR-500W 500W / SR-600W 600W 80+ PSU POWER SUPPLY,179.00
1ST PLAYER DK 6.0 PS-600AX 600W 80Plus Bronze Power Supply,239.00
AIGO GP550 550WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP550,179.00
AIGO GP650 650WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP650,199.00
AIGO SLEV 30 PREMIUM PRE-BRAIDED MODDING CABLES,99.00
ASUS Dual Geforce RTX5080 8GB GDDR7 Graphic Card (DUAL-RTX5060-8GB),"1,699.00"
ASUS GEFORCE RTX5070 PRIME OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"3,659.00"
ASUS PRIME GeForce RTX 5060 Ti 8GB GDDR7 OC Edition Graphic Card,"1,879.00"
ASUS ROG STRIX 650WATT GAMING POWER SUPPLY ( 90YE00A1-B0NA00 ),679.00
ASUS ROG STRIX 750WATT GAMING POWER SUPPLY ( 90YE00A0-B0NA00 ),679.00
ASUS ROG STRIX LC 240 RGB LIQUID CPU COOLER,819.00
ASUS ROG Strix LC II 240 ARGB All-in-one Liquid CPU Cooler,849.00
ASUS ROG STRIX LC II 280 ARG ALL IN ONE CPU COOLER,899.00
ASUS ROG Strix LC II 280 ARGB All-in-one Liquid CPU Cooler,899.00
ASUS ROG Strix LC II 360 ARGB All-in-one Liquid CPU Cooler,"1,099.00"
ASUS ROG THOR 850W PLATINUM GAMING POWER SUPPLY WITH AURA SYNC AND OLED DISPLAY - BLACK ( 90YE0090-B001N0 ),"1,339.00"
ASUS TUF GAMING 550B 550WATT POWER SUPPLY,355.00
ASUS TUF GAMING GEFORCE RTX5070 Ti OC 16GB GDDR7 GPU GRAPHIC CARD,"5,659.00"
COLORFUL GeForce RTX 5060 Gaming DUO 8GB-V Graphic Card,"1,499.00"
COLORFUL GeForce RTX5060TI Gaming DUO 16GB GDDR7 Graphics Card,"2,279.00"
COLORFUL GeForce RTX5070 Battle AX 12GB GDDR7 Graphic Card,"3,099.00"
COLORFUL iGame GeForce RTX 5060 Ti Ultra W DUO OC 8GB-V Graphics Card,"1,879.00"
COLORFUL iGame GeForce RTX 5070 Ti Ultra W OC 16GB-V GDDR7 Graphics Card ( CFL-RTX5070 TI ULTRA W OC 16GB-V ),"4,399.00"
COLORFUL IGAME GEFORCE RTX 5070 ULTRA W OC 12GB GDDR7 Graphics Card ( CFL-RTX5070 ULTRA W OC 12GB-V ),"3,299.00"
COLORFUL IGAME GEFORCE RTX5060 TI ULTRA W OC 8GB GDDR7 GPU GRAPHIC CARD,"1,929.00"
COLORFUL IGAME GEFORCE RTX5060 ULTRA W DUO OC 8GB GDDR7 GPU GRAPHIC CARD,"1,599.00"
COLORFUL IGAME GEFORCE RTX5080 ADVANCED OC 16GB GDDR7 GPU GRAPHIC CARD,"5,959.00"
COLORFUL IGAME GEFORCE RTX5080 ULTRA W OC 16GB GDDR7 GPU 3YR WARRANTY,"5,399.00"
COLORFUL IGAME GEFORCE RTX5080 VULCAN OC 16GB-V GDDR7 GPU 3YR WARRANTY,"6,659.00"
COOLER MASTER EXTENSION SLEEVED CABLE KIT - BLUE BLACK,159.00
COOLER MASTER EXTENSION SLEEVED CABLE KIT - RED BLACK,159.00
ELGATO CAM LINK 4K 10GAM9901,649.00
ELGATO HD60 PRO PCIE HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901002,969.00
ELGATO HD60 S+ HIGH DEFINITION GAME RECORDER EXTERNAL VIDEO CAPTURE CARD,979.00
ELGATO HD60S HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901004,909.00
ELGATO STREAM DECK (15 KEYS LCD) 10GAA9901,719.00
ELGATO STREAM DECK XL (32 KEYS LCD) 10GAT9901,"1,109.00"
GIGABYTE GEFORCE RTX5050 WINDFORCE OC EDITION 8GB GDDR6 (3YW),"1,199.00"
GIGABYTE GEFORCE RTX5060 GAMING OC 8GD GDDR7 (3YW),"1,609.00"
GIGABYTE GEFORCE RTX5060 WINDFORCE OC 8GD GDDR7 (3YW),"1,479.00"
GIGABYTE GEFORCE RTX5070 GAMING OC 12G GDDR7 GPU GRAPHIC CARD,"2,899.00"
ID COOLING DF 12025-ARGB CASE FAN(1PC),55.00
ID COOLING XF-12025 ARGB CASE FAN TRIO SET,149.00
ID-COOLING DK-03I RGB PWM CPU COOLER,59.00
ID-COOLING PINKFLOW 240 AIO CPU LIQUID COOLING,379.00
ID-COOLING SE-214 RGB CPU COOLER,129.00
ID-COOLING SE-224 RGB CPU COOLER,159.00
KINGSTON HYPERX FURY RGB 16GB 3200MHZ DDR4 CL16 DIMM (8GB x 2) HX432C16FB3AK2/16,479.00
MSI GeForce RTX5060 Shadow 2X OC 8GB GDDR7 Graphic Card,"1,479.00"
MSI GeForce RTX5060TI Shadow 2X OC Plus 16GB GDDR7 Graphic Card,"2,599.00"
MSI Geforce RTX5060TI Shadow 2X OC Plus 8GB GDDR7 Graphic Card,"1,699.00"
MSI GEFORCE RTX5070 GAMING TRIO OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"3,199.00"
MSI GEFORCE RTX5070 SHADOW 2X OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"3,299.00"
MSI GEFORCE RTX5080 SHADOW 3X OC EDITION 16GB GDDR7 GPU GRAPHIC CARD,"6,099.00"
MSI GEFORCE RTX5090 VENTUS 3X OC EDITION 32GB GDDR7 GPU GRAPHIC CARD,"13,990.00"
MSI MAG A650BN 650W 80Plus Bronze Power Supply,289.00
MSI Mag Coreliquid 360R Liquid Cooler,679.00
MSI MAG Coreliquid C340 Liquid Cooler,529.00
MSI MAG FORGE M100R M-ATX GAMING CASE - BLACK,229.00
MSI MPG A850GF 850W 80Plus Gold Power Supply,679.00
MSI MPG Coreliquid K240 Liquid Cooler,999.00
MSI MPG CoreLiquid K240 Liquid Cooler,999.00
MSI PRO B550M-P GEN3 AM4 M-ATX MOTHERBOARD,459.00
MSI PRO B760M-A WIFI D4 LGA1700 M-ATX MOTHERBOARD,679.00
MSI PRO B760M-A WIFI DDR4 X4 LGA1700 M-ATX MOTHERBOARD,759.00
MSI PRO H610M-E DDR4 LGA1700 M-ATX MOTHERBOARD,339.00
PALIT GEFORCE RTX 5060 DUAL 8GB GDDR7 GPU GRAPHIC CARD,"1,549.00"
PALIT GEFORCE RTX 5060 INFINITY 3 8GB GDDR7 GPU GRAPHIC CARD,"1,559.00"
PALIT GEFORCE RTX5070 GAMING PRO 12GB GDDR7,"2,999.00"
PALIT GEFORCE RTX5070 INFINITY 3 12GB GDDR7 GRAPHIC CARD,"3,269.00"
PALIT GEFORCE RTX5070 WHITE OC 12GB GDDR7 (3YW),"2,859.00"
PALIT GEFORCE RTX5080 GAMING PRO 16GB GDDR7,"5,299.00"
ZOTAC GAMING GEFORCE RTX5060 AMP 8GB GDDR7 GPU GRAPHIC CARD,"1,559.00"
ZOTAC GAMING GEFORCE RTX5060 TWIN EDGE OC EDITION 8GB GDDR7 GPU GRAPHIC CARD,"1,519.00"
ZOTAC GAMING GEFORCE RTX5060TI 16GB TWIN EDGE OC - WHITE,"2,599.00"
ZOTAC GAMING GEFORCE RTX5070 OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"3,139.00"
ZOTAC GEFORCE RTX 5070 TWIN EDGE OC 12GB GDDR7 GPU GRAPHIC CARD,"2,999.00"
ZOTAC GEFORCE RTX5060TI TWIN EDGE OC EDITION 8GB GDDR7 GPU GRAPHIC CARD,"1,749.00"
